Country,Year,Max_Temperature,Min_Temperature,Avg_Humidity
India,2010,26.0,13.9,52
India,2010,26.2,12.7,47
India,2010,27.4,12.5,50
India,2010,28.6,16.2,49
India,2010,27.6,16.6,52
India,2010,26.6,13.7,48
India,2010,26.4,12.6,46
India,2010,27.4,12.6,46
India,2010,28.6,13.5,47
India,2010,29.3,17.2,45
India,2010,30.3,16.6,50
India,2010,28.0,18.5,61
India,2010,26.9,19.7,83
India,2010,27.4,18.4,70
India,2010,27.6,15.4,55
India,2010,27.2,14.3,55
India,2010,27.6,14.0,55
India,2010,28.3,13.7,50
India,2010,28.5,13.8,45
India,2010,28.5,13.4,42
India,2010,28.8,12.3,41
India,2010,28.8,13.0,39
India,2010,29.0,12.6,40
India,2010,28.7,12.7,42
India,2010,29.0,13.4,45
India,2010,29.8,14.7,40
India,2010,29.2,15.6,35
India,2010,29.0,15.0,37
India,2010,29.5,15.1,39
India,2010,29.9,15.0,38
India,2010,29.7,14.4,41
India,2010,30.2,15.3,41
India,2010,30.2,17.6,46
India,2010,29.6,19.3,49
India,2010,27.5,19.5,57
India,2010,29.2,18.5,58
India,2010,30.9,18.2,49
India,2010,31.1,17.3,42
India,2010,31.5,15.9,43
India,2010,32.6,19.3,39
India,2010,31.5,20.2,42
India,2010,32.3,20.7,47
India,2010,32.7,20.7,40
India,2010,33.9,20.2,41
India,2010,33.2,21.3,48
India,2010,34.4,22.0,66
India,2010,32.9,20.5,68
India,2010,30.9,21.2,63
India,2010,31.5,19.6,46
India,2010,32.8,20.8,39
India,2010,33.9,21.0,39
India,2010,34.3,21.3,38
India,2010,34.6,21.3,39
India,2010,35.5,20.9,55
India,2010,33.2,20.7,47
India,2010,33.7,17.9,32
India,2010,34.8,18.6,36
India,2010,35.2,19.3,35
India,2010,36.2,18.1,32
India,2010,37.0,19.7,30
India,2010,37.3,20.9,32
India,2010,37.8,23.6,32
India,2010,37.4,24.4,30
India,2010,36.8,23.1,31
India,2010,37.5,22.4,32
India,2010,36.6,23.8,32
India,2010,36.9,22.1,31
India,2010,37.0,23.8,31
India,2010,37.5,24.4,32
India,2010,37.2,26.1,40
India,2010,36.5,26.0,43
India,2010,37.3,24.3,47
India,2010,38.2,21.2,32
India,2010,38.8,21.8,24
India,2010,39.2,21.8,25
India,2010,39.2,22.5,25
India,2010,38.5,23.2,31
India,2010,38.7,23.7,29
India,2010,39.7,23.8,27
India,2010,40.4,23.1,24
India,2010,41.5,23.5,23
India,2010,41.4,23.5,22
India,2010,41.1,25.8,26
India,2010,39.8,25.9,33
India,2010,39.5,27.0,31
India,2010,40.0,27.2,35
India,2010,40.0,26.7,31
India,2010,39.7,28.3,34
India,2010,40.7,27.2,27
India,2010,40.0,24.9,21
India,2010,38.8,25.9,24
India,2010,39.2,25.0,29
India,2010,40.0,25.2,23
India,2010,40.8,24.5,20
India,2010,40.9,24.0,20
India,2010,42.3,25.7,19
India,2010,42.4,26.9,17
India,2010,42.7,25.9,22
India,2010,41.6,27.5,27
India,2010,42.7,28.6,20
India,2010,42.9,29.1,20
India,2010,42.9,27.2,19
India,2010,43.1,28.3,18
India,2010,43.1,29.4,19
India,2010,43.4,28.5,21
India,2010,43.6,28.0,24
India,2010,44.0,30.6,25
India,2010,43.9,30.1,21
India,2010,43.4,29.5,21
India,2010,42.4,29.7,20
India,2010,42.4,29.4,19
India,2010,43.1,29.6,18
India,2010,43.5,30.6,16
India,2010,43.1,27.4,17
India,2010,42.8,27.1,15
India,2010,43.1,27.4,19
India,2010,43.3,30.0,26
India,2010,43.3,30.2,23
India,2010,43.0,31.0,29
India,2010,39.7,30.0,33
India,2010,39.3,29.7,30
